"url","pageType","status","finalUrl","redirectHops","redirectChain","title","description","robots","canonical","h1Count","ogTitle","ogDescription","ogImage","twitterCard","twitterTitle","twitterDescription","favicon","schemaTypes","invalidSchemaBlocks","issues","error"
"https://x3yyntt5tp-staging.wpdns.site/es/","homepage","200","https://x3yyntt5tp-staging.wpdns.site/es/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/?codex_technical=20260718","Chroma Academy | Guardería y preescolar en Metro Atlanta","Descubre Chroma Early Learning Academy para guardería, preescolar, GA Pre-K y educación temprana para familias en Metro Atlanta.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/","1","true","true","true","true","true","true","true","EducationalOrganization | FAQPage | Person","0","",""
"https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","editorial-single","200","https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","0","200 https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/?codex_technical=20260718","Georgia Pre-K Parent Guide: Everything You Need to Know for 2026 | Chroma Early Learning Academy","Georgia Pre-K Parent Guide: Everything You Need to Know for 2026 Direct Answer Georgia’s Pre-K program provides free, lottery-funded pre-kindergarten for all 4-year-old Georgia residents (must turn 4 by September...","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","1","true","true","true","true","true","true","true","BlogPosting | BreadcrumbList | Person","0","",""
"https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","location-single","200","https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","0","200 https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/?codex_technical=20260718","Parklake Campus, Atlanta GA | Chroma Early Learning Academy","The art of growing up.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","1","true","true","true","true","true","true","true","BreadcrumbList | ChildCare | EducationalOrganization | LocalBusiness | Preschool | WebPage","0","",""
"https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","location-single","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/?codex_technical=20260718","Campus Parklake, Atlanta GA | Campus de Chroma","Conoce Campus Parklake, Atlanta GA en Atlanta y descubre programas de cuidado infantil y preescolar de Chroma para tu familia.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","1","true","true","true","true","true","true","true","BreadcrumbList | ChildCare | EducationalOrganization | LocalBusiness | Preschool | WebPage","0","",""
"https://x3yyntt5tp-staging.wpdns.site/","homepage","200","https://x3yyntt5tp-staging.wpdns.site/","0","200 https://x3yyntt5tp-staging.wpdns.site/?codex_technical=20260718","Chroma Early Learning Academy | Daycare & Preschool in Metro Atl…","Discover Chroma Early Learning Academy for daycare, preschool, GA Pre-K, and family-focused early education across Metro Atlanta.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/","1","true","true","true","true","true","true","true","EducationalOrganization | FAQPage | Person","0","",""
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","0","200 https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/?codex_technical=20260718","Rising Kindergarten | Chroma Early Learning Academy","Our Rising Kindergarten Summer Program is a specialized 6-week curriculum designed to solidify early reading, mathematical reasoning, and vital executive function skills, ensuring your child is 100% prepared for day one of...","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/?codex_technical=20260718","Kindergarten en ascenso | Programa de Chroma","Ayuda a tu hijo a prepararse para kindergarten con aprendizaje basado en el juego, rutinas escolares y apoyo de maestros de Chroma Early Learning Academy.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","0","200 https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/?codex_technical=20260718","Rising Pre-K | Chroma Early Learning Academy","Transitioning into a structured Pre-K environment is a massive developmental leap. Our Rising Pre-K Summer Program is an intensive, joyful 6-week bridge designed to build classroom routines, social-emotional resilience, and early literacy...","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/?codex_technical=20260718","Pre-K en ascenso | Programa de Chroma","Prepara a tu hijo de 4 a 5 años para Pre-K con un programa alegre y práctico de Chroma Early Learning Academy. Conoce el programa y agenda una visita.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","0","200 https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_technical=20260718","Kindergarten | Chroma Early Learning Academy","Discover Chroma Early Learning Academy's engaging Kindergarten program. Fostering creativity, collaboration, and academic growth in a supportive environment.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/","program-single","200","https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/?codex_technical=20260718","Programa de kindergarten | Chroma Early Learning Academy","Descubre el programa de kindergarten de Chroma Early Learning Academy, diseñado para fortalecer la confianza, la curiosidad y la preparación para primer grado.","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/programs/kindergarten/","1","true","true","true","true","true","true","true","BreadcrumbList | Course | Service","0","",""
"https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/","location-single","200","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/","0","200 https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/?codex_technical=20260718","Chroma Early Learning Academy Stockbridge Campus Opening May 2026","Chroma Early Learning Academy @ Stockbridge — New Campus! in South Metro. Quality childcare, preschool, and after-school programs. Enroll today!","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-stockbridge/","1","true","true","true","true","true","true","true","BreadcrumbList | ChildCare | EducationalOrganization | LocalBusiness | Preschool | WebPage","0","",""
"https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/","location-single","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/","0","200 https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/?codex_technical=20260718","Campus Stockbridge | Campus de Chroma","¡Próximamente en South Metro en mayo de 2026!Chroma Early Learning Academy se expande a South Metro. Las inscripciones abren pronto. ¡Únete a la lista de esper…","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/","1","true","true","true","true","true","true","true","BreadcrumbList | ChildCare | EducationalOrganization | LocalBusiness | Preschool | WebPage","0","",""
"https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/","location-single","200","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/","0","200 https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/?codex_technical=20260718","Grayson Campus: Quality Childcare & Preschool Programs | Chroma","Chroma Early Learning Academy @ Grayson — New Campus! in Gwinnett County. Quality childcare, preschool, and after-school programs. Enroll today!","max-image-preview:large","https://x3yyntt5tp-staging.wpdns.site/locations/chroma-early-learning-academy-grayson/","1","true","true","true","true","true","true","true","BreadcrumbList | ChildCare | CollectionPage | Course | EducationalOrganization | Event | ItemList | LocalBusiness | Person | Service | SpecialAnnouncement | WebPage","0","",""
